Index,Variant,country,Notes,Country code,Type,Parent code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
1765,Estimates,China,8,156,Country/Area,906,1950-1955,96.6,278.6,289.6,244.4,194.3,102.6,15.9
1766,Estimates,China,8,156,Country/Area,906,1955-1960,72.4,253.2,262.0,231.3,175.3,89.8,12.1
1767,Estimates,China,8,156,Country/Area,906,1960-1965,65.2,285.4,306.3,266.9,207.9,88.5,9.8
1768,Estimates,China,8,156,Country/Area,906,1965-1970,51.7,299.9,337.7,274.7,194.1,91.9,10.1
1769,Estimates,China,8,156,Country/Area,906,1970-1975,30.0,243.5,289.0,205.7,134.8,59.2,7.8
1770,Estimates,China,8,156,Country/Area,906,1975-1980,17.2,175.4,208.5,116.7,54.8,24.7,4.7
1771,Estimates,China,8,156,Country/Area,906,1980-1985,18.3,185.5,198.8,65.3,24.5,9.6,2.1
1772,Estimates,China,8,156,Country/Area,906,1985-1990,26.7,225.6,178.3,78.9,27.4,7.6,1.5
1773,Estimates,China,8,156,Country/Area,906,1990-1995,15.8,158.4,132.6,44.9,9.6,3.8,1.0
1774,Estimates,China,8,156,Country/Area,906,1995-2000,11.7,142.9,117.5,40.0,8.4,2.7,0.9
1775,Estimates,China,8,156,Country/Area,906,2000-2005,8.7,131.2,114.1,52.2,12.6,2.2,0.9
1776,Estimates,China,8,156,Country/Area,906,2005-2010,7.3,124.3,111.9,57.2,17.7,4.7,1.0
1777,Estimates,China,8,156,Country/Area,906,2010-2015,7.4,120.0,113.7,60.7,19.4,5.9,1.0
1778,Estimates,China,8,156,Country/Area,906,2015-2020,7.6,116.7,117.2,63.1,23.2,9.2,1.0
