地区,60岁及以上人口,健康,基本健康,不健康，但生活能自理,生活不能自理
全国,17658702,7738173,6945041,2455267,520221
北京,250084,99865,107068,32082,11069
天津,162233,71973,67182,17195,5883
河北,928642,419065,341585,135863,32129
山西,414649,166386,165709,67164,15390
内蒙古,275828,115534,105312,45236,9746
辽宁,672227,290920,270482,92374,18451
吉林,349177,138085,144781,57155,9156
黑龙江,468616,199247,186754,70846,11769
上海,345592,150971,150631,31175,12815
江苏,1247962,626603,464007,127580,29772
浙江,759091,400645,266096,74373,17977
安徽,853195,321509,354089,148715,28882
福建,420377,209198,163901,38889,8389
江西,504043,224487,206832,61859,10865
山东,1400109,729311,462980,170304,37514
河南,1196924,567448,419979,171312,38185
湖北,779566,277089,347418,131477,23582
湖南,939818,330267,413669,167987,27895
广东,957360,492653,366579,80918,17210
广西,616828,277551,243746,81266,14265
海南,93525,37806,37809,15030,2880
重庆,488115,195759,201675,75456,15225
四川,1412294,551709,592005,221883,46697
贵州,446686,189851,170481,71169,15185
云南,514563,219938,204988,69556,20081
西藏,20828,5110,10105,4478,1135
陕西,487378,193803,202206,75574,15795
甘肃,338325,118592,137527,70267,11939
青海,51945,19806,21790,8436,1913
宁夏,61207,24491,25235,9462,2019
新疆,201515,72501,92420,30186,6408
