地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,,4.4,4.7,4.9,5.1,6.0,6.3,7.0,,
天津,,9.1,10.2,10.4,10.1,10.7,10.1,9.8,,
河北,,160.2,189.5,205.8,209.9,221.9,208.0,208.4,,
山西,,111.2,118.5,122.5,140.7,149.8,150.6,136.8,,
内蒙古,,119.9,112.8,116.4,122.2,125.3,123.5,116.5,,
辽宁,,73.0,77.9,79.5,80.7,88.4,91.9,93.6,,
吉林,,70.3,78.7,82.2,79.0,80.9,77.0,97.9,,
黑龙江,,105.2,120.9,118.2,117.3,121.5,119.4,121.4,,
上海,,3.5,3.4,3.1,3.0,3.3,3.4,6.7,,
江苏,,97.2,109.9,114.8,119.1,130.1,138.1,141.7,,
浙江,,59.2,71.4,56.8,50.8,55.1,56.7,58.1,,
安徽,,155.5,149.8,196.3,208.9,216.1,214.6,216.6,,
福建,,39.1,46.1,71.7,73.9,73.7,73.5,72.7,,
江西,,175.7,180.1,169.3,170.1,160.7,150.3,150.1,,
山东,,181.6,217.7,237.4,258.2,259.9,250.7,239.3,,
河南,,288.1,328.0,392.9,397.9,390.9,373.0,365.6,,
湖北,,137.9,138.2,159.5,221.6,235.7,230.7,230.1,,
湖南,,124.9,290.2,317.9,316.0,289.3,277.4,260.6,,
广东,,146.8,145.1,153.6,158.8,163.2,177.8,184.1,,
广西,,253.9,290.6,292.1,329.0,345.9,332.8,325.1,,
海南,,18.1,18.3,18.8,21.5,24.5,24.7,24.4,,
重庆,,60.2,59.0,50.3,50.2,62.7,74.3,101.3,,
四川,,366.3,356.7,405.5,425.3,439.5,434.5,425.1,,
贵州,,260.0,304.8,332.7,416.8,477.1,513.0,530.9,,
云南,,329.9,422.9,455.3,458.9,466.5,437.5,403.4,,
西藏,,22.7,25.7,32.0,32.3,32.9,32.9,23.0,,
陕西,,87.6,130.4,161.7,181.6,199.9,205.4,220.7,,
甘肃,,299.3,324.7,336.9,339.0,343.3,344.0,321.8,,
青海,,42.6,51.6,31.8,37.2,40.3,40.0,40.1,,
宁夏,,38.1,42.2,41.7,39.2,38.2,36.4,38.0,,
新疆,,203.6,166.5,131.8,132.7,134.8,135.8,134.9,,

